;model;batch_size;epoch;train_ratio;accuracy_score;
0;GRU;32;10;0.2;0.851147541;13
1;GRU;64;10;0.2;0.861639344;9
2;GRU;128;10;0.2;0.86557377;4
3;GRU;32;15;0.2;0.864262295;7
4;GRU;64;15;0.2;0.86557377;4
5;GRU;128;15;0.2;0.870163934;2
6;GRU;32;10;0.3;0.869698295;3
7;GRU;64;10;0.3;0.871884565;1
8;GRU;128;10;0.3;0.862264976;8
9;GRU;32;15;0.3;0.858766944;10
10;GRU;64;15;0.3;0.864451246;6
11;GRU;128;15;0.3;0.85832969;11
12;GRU;32;10;0.4;0.844211217;18
13;GRU;64;10;0.4;0.850114792;14
14;GRU;128;10;0.4;0.846835028;16
15;GRU;32;15;0.4;0.848802886;15
16;GRU;64;15;0.4;0.846835028;16
17;GRU;128;15;0.4;0.85208265;12
