;model;batch_size;epoch;train_ratio;accuracy_score
0;LSTM;32;10;0.2;0.7356412273800157
1;LSTM;64;10;0.2;0.7309205350118018
2;LSTM;128;10;0.2;0.7261998426435877
3;LSTM;32;15;0.2;0.7324940991345398
4;LSTM;64;15;0.2;0.7324940991345398
5;LSTM;128;15;0.2;0.7324940991345398
6;LSTM;32;10;0.3;0.7282266526757608
7;LSTM;64;10;0.3;0.7203567681007346
8;LSTM;128;10;0.3;0.7292759706190975
9;LSTM;32;15;0.3;0.7277019937040924
10;LSTM;64;15;0.3;0.7308499475341028
11;LSTM;128;15;0.3;0.7282266526757608
12;LSTM;32;10;0.4;0.7261998426435877
13;LSTM;64;10;0.4;0.7226593233674272
14;LSTM;128;10;0.4;0.7210857592446892
15;LSTM;32;15;0.4;0.7234461054287962
16;LSTM;64;15;0.4;0.7183320220298978
17;LSTM;128;15;0.4;0.7167584579071598
